KOfam	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_Ia.1.I	p_Ib.1	p_Ia.4.II	p_Ia.4.RS39	p_Ia.4.1483	p_Ia.3.V	p_Ia.3.IV	p_Ia.3.III	p_Ia.3.I	p_Ia.3.II	p_Ia.3.VI	N_Ia.1.I	N_Ib.1	N_Ia.4.II	N_Ia.4.RS39	N_Ia.4.1483	N_Ia.3.V	N_Ia.3.IV	N_Ia.3.III	N_Ia.3.I	N_Ia.3.II	N_Ia.3.VI
Xaa-Pro dipeptidase [EC:3.4.13.9]	92.00247510516047	2.14464010053938e-15	5.0376529550956324e-14	Ia.1.I, Ib.1, Ia.4.II, Ia.4.RS39, Ia.4.1483, Ia.3.V, Ia.3.IV, Ia.3.I, Ia.3.II, Ia.3.VI	K01271	GC_00001180, GC_00001359	1	1	1	1	1	1	1	0	1	1	1	7	2	7	4	1	8	2	5	3	6	47
thioredoxin-dependent peroxiredoxin [EC:1.11.1.24]	92.00174252426997	2.1453590219293573e-15	5.0376529550956324e-14	Ia.1.I, Ib.1, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II, Ia.3.VI	K03564	GC_00001028, GC_00001900, GC_00002074	1	1	0	0	0	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
outer membrane lipoprotein SlyB	92.0015549915174	2.145543096653818e-15	5.0376529550956324e-14	Ib.1	K06077	GC_00004015	0	1	0	0	0	0	0	0	0	0	0	7	2	7	4	1	8	2	5	3	6	47
trans-2,3-dihydro-3-hydroxyanthranilate isomerase [EC:5.3.3.17]	92.0015549915174	2.145543096653818e-15	5.0376529550956324e-14	Ib.1	K06998	GC_00003946	0	1	0	0	0	0	0	0	0	0	0	7	2	7	4	1	8	2	5	3	6	47
(5-formylfuran-3-yl)methyl phosphate transaminase [EC:2.6.1.108]	92.0015549915174	2.145543096653818e-15	5.0376529550956324e-14	Ib.1	K19793	GC_00003679	0	1	0	0	0	0	0	0	0	0	0	7	2	7	4	1	8	2	5	3	6	47
protein adenylyltransferase [EC:2.7.7.108]	92.00155499151731	2.145543096653901e-15	5.0376529550956324e-14	Ia.1.I, Ia.4.II, Ia.4.RS39, Ia.4.1483, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II, Ia.3.VI	K08997	GC_00000888	1	0	1	1	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
cyclohexadienyl dehydratase [EC:4.2.1.51 4.2.1.91]	92.0013462772303	2.1457479808643787e-15	5.0376529550956324e-14	Ia.1.I, Ia.4.II, Ia.4.RS39, Ia.4.1483, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II	K01713	GC_00001368	1	0	1	1	1	0	1	1	1	1	0	7	2	7	4	1	8	2	5	3	6	47
D-galactarolactone cycloisomerase [EC:5.5.1.27]	92.00134627723025	2.1457479808644205e-15	5.0376529550956324e-14	Ia.3.V, Ia.3.IV, Ia.3.VI	K18983	GC_00001208	0	0	0	0	0	1	1	0	0	0	1	7	2	7	4	1	8	2	5	3	6	47
aldose 1-epimerase [EC:5.1.3.3]	92.00134627723025	2.1457479808644205e-15	5.0376529550956324e-14	Ia.3.V, Ia.3.IV, Ia.3.VI	K01785	GC_00001211	0	0	0	0	0	1	1	0	0	0	1	7	2	7	4	1	8	2	5	3	6	47
arabinonate dehydratase [EC:4.2.1.5]	92.00134627723025	2.1457479808644205e-15	5.0376529550956324e-14	Ia.3.V, Ia.3.IV, Ia.3.VI	K26399	GC_00001205	0	0	0	0	0	1	1	0	0	0	1	7	2	7	4	1	8	2	5	3	6	47
adenine/guanine/hypoxanthine permease	92.0009467856482	2.1461401958995138e-15	5.0376529550956324e-14	Ia.1.I, Ib.1, Ia.4.II, Ia.4.RS39, Ia.4.1483, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II, Ia.3.VI	K06901	GC_00000980	1	1	1	1	1	0	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
general nucleoside transport system permease protein	92.0009467856481	2.1461401958996116e-15	5.0376529550956324e-14	Ia.3.V	K23536	GC_00001868, GC_00001885	0	0	0	0	0	1	0	0	0	0	0	7	2	7	4	1	8	2	5	3	6	47
basic membrane protein A and related proteins	92.0009467856481	2.1461401958996116e-15	5.0376529550956324e-14	Ia.3.V	K07335	GC_00001883	0	0	0	0	0	1	0	0	0	0	0	7	2	7	4	1	8	2	5	3	6	47
general nucleoside transport system ATP-binding protein	92.0009467856481	2.1461401958996116e-15	5.0376529550956324e-14	Ia.3.V	K23537	GC_00001913	0	0	0	0	0	1	0	0	0	0	0	7	2	7	4	1	8	2	5	3	6	47
maleylacetate reductase [EC:1.3.1.32]	92.00072153622287	2.146361374053377e-15	5.0376529550956324e-14	Ib.1, Ia.3.I	K00217	GC_00002273	0	1	0	0	0	0	0	0	1	0	0	7	2	7	4	1	8	2	5	3	6	47
rubrerythrin	92.00029178085876	2.14678342490024e-15	5.0376529550956324e-14	Ia.1.I, Ib.1, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.II, Ia.3.VI	K19824	GC_00001040	1	1	0	0	0	1	1	1	0	1	1	7	2	7	4	1	8	2	5	3	6	47
catalase-peroxidase [EC:1.11.1.21]	92.00029178085875	2.146783424900254e-15	5.0376529550956324e-14	Ia.4.II, Ia.4.RS39, Ia.4.1483, Ia.3.I	K03782	GC_00001579	0	0	1	1	1	0	0	0	1	0	0	7	2	7	4	1	8	2	5	3	6	47
iron(III) transport system permease protein	92.00023583186888	2.146838376946421e-15	5.0376529550956324e-14	Ia.1.I, Ib.1, Ia.4.II, Ia.4.RS39, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II, Ia.3.VI	K02011	GC_00000837, GC_00001409, GC_00003384	1	1	1	1	0	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
iron(III) transport system substrate-binding protein	92.00023583186888	2.146838376946421e-15	5.0376529550956324e-14	Ia.1.I, Ib.1, Ia.4.II, Ia.4.RS39, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II, Ia.3.VI	K02012	GC_00000849, GC_00001394	1	1	1	1	0	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
high-affinity iron transporter	92.00023583186884	2.1468383769464633e-15	5.0376529550956324e-14	Ia.4.1483	K07243	GC_00007404	0	0	0	0	1	0	0	0	0	0	0	7	2	7	4	1	8	2	5	3	6	47
adenine deaminase [EC:3.5.4.2]	92.00023583186884	2.1468383769464633e-15	5.0376529550956324e-14	Ia.4.1483	K21053	GC_00006103	0	0	0	0	1	0	0	0	0	0	0	7	2	7	4	1	8	2	5	3	6	47
alanine-glyoxylate transaminase / serine-glyoxylate transaminase / serine-pyruvate transaminase [EC:2.6.1.44 2.6.1.45 2.6.1.51]	92.00012305827772	2.1469491453137545e-15	5.0376529550956324e-14	Ib.1, Ia.4.RS39, Ia.3.I	K00830	GC_00001795	0	1	0	1	0	0	0	0	1	0	0	7	2	7	4	1	8	2	5	3	6	47
acyl-CoA thioesterase I [EC:3.1.2.- 3.1.2.2 3.1.1.2 3.1.1.5]	92.00012209464536	2.146950091836369e-15	5.0376529550956324e-14	Ia.1.I, Ia.4.II, Ia.4.1483, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II, Ia.3.VI	K10804	GC_00000965	1	0	1	0	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
putative ABC transport system ATP-binding protein	92.00012209464536	2.146950091836369e-15	5.0376529550956324e-14	Ia.1.I, Ia.4.II, Ia.4.1483, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II, Ia.3.VI	K02003	GC_00000968	1	0	1	0	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
putative ABC transport system permease protein	92.00012209464536	2.146950091836369e-15	5.0376529550956324e-14	Ia.1.I, Ia.4.II, Ia.4.1483, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II, Ia.3.VI	K02004	GC_00000971	1	0	1	0	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
tRNA(adenine34) deaminase [EC:3.5.4.33]	92.00010324999377	2.1469686019760178e-15	5.0376529550956324e-14	Ia.4.1483, Ia.3.V	K11991	GC_00001781	0	0	0	0	1	1	0	0	0	0	0	7	2	7	4	1	8	2	5	3	6	47
xanthine dehydrogenase small subunit [EC:1.17.1.4]	92.00010324999377	2.1469686019760178e-15	5.0376529550956324e-14	Ia.4.1483, Ia.3.V	K13481	GC_00001774	0	0	0	0	1	1	0	0	0	0	0	7	2	7	4	1	8	2	5	3	6	47
5-hydroxyisourate hydrolase [EC:3.5.2.17]	92.00010324999377	2.1469686019760178e-15	5.0376529550956324e-14	Ia.4.1483, Ia.3.V	K07127	GC_00001768	0	0	0	0	1	1	0	0	0	0	0	7	2	7	4	1	8	2	5	3	6	47
xanthine dehydrogenase large subunit [EC:1.17.1.4]	92.00010324999377	2.1469686019760178e-15	5.0376529550956324e-14	Ia.4.1483, Ia.3.V	K13482	GC_00001784	0	0	0	0	1	1	0	0	0	0	0	7	2	7	4	1	8	2	5	3	6	47
2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase [EC:4.1.1.97]	92.00010324999377	2.1469686019760178e-15	5.0376529550956324e-14	Ia.4.1483, Ia.3.V	K13485	GC_00001765	0	0	0	0	1	1	0	0	0	0	0	7	2	7	4	1	8	2	5	3	6	47
xanthine dehydrogenase accessory factor	92.00006981633	2.147001442549767e-15	5.0376529550956324e-14	Ia.4.1483, Ia.3.V, Ia.3.III, Ia.3.II	K07402	GC_00001476, GC_00001480	0	0	0	0	1	1	0	1	0	1	0	7	2	7	4	1	8	2	5	3	6	47
glycerol-3-phosphate dehydrogenase subunit C	92.00001451781881	2.1470557612038548e-15	5.0376529550956324e-14	Ia.1.I, Ib.1, Ia.4.RS39, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II, Ia.3.VI	K00113	GC_00001045, GC_00001803	1	1	0	1	0	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]	92.00000950528263	2.1470606849886228e-15	5.0376529550956324e-14	Ia.1.I, Ib.1, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II	K00057	GC_00001439	1	1	0	0	0	0	1	1	1	1	0	7	2	7	4	1	8	2	5	3	6	47
alpha-aminoadipate/glutamate carrier protein LysW	92.0000063329392	2.147063801168724e-15	5.0376529550956324e-14	Ia.4.RS39	K05826	GC_00002482	0	0	0	1	0	0	0	0	0	0	0	7	2	7	4	1	8	2	5	3	6	47
homoserine/homoserine lactone efflux protein	92.00000633293914	2.1470638011687798e-15	5.0376529550956324e-14	Ia.1.I, Ib.1, Ia.4.II, Ia.4.1483, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II, Ia.3.VI	K05834	GC_00000935, GC_00001320, GC_00002488	1	1	1	0	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
methionine sulfoxide reductase catalytic subunit [EC:1.8.-.-]	92.00000450093275	2.1470656007432853e-15	5.0376529550956324e-14	Ia.1.I, Ib.1, Ia.4.1483, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II, Ia.3.VI	K07147	GC_00001015	1	1	0	0	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
methionine sulfoxide reductase heme-binding subunit	92.00000450093275	2.1470656007432853e-15	5.0376529550956324e-14	Ia.1.I, Ib.1, Ia.4.1483, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II, Ia.3.VI	K17247	GC_00000998, GC_00002677	1	1	0	0	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
GTP 3',8-cyclase [EC:4.1.99.22]	92.00000450093275	2.1470656007432853e-15	5.0376529550956324e-14	Ia.1.I, Ib.1, Ia.4.1483, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II, Ia.3.VI	K03639	GC_00001013, GC_00002280	1	1	0	0	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
molybdopterin adenylyltransferase [EC:2.7.7.75]	92.00000450093275	2.1470656007432853e-15	5.0376529550956324e-14	Ia.1.I, Ib.1, Ia.4.1483, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II, Ia.3.VI	K03638	GC_00001007	1	1	0	0	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
molybdopterin molybdotransferase [EC:2.10.1.1]	92.00000450093275	2.1470656007432853e-15	5.0376529550956324e-14	Ia.1.I, Ib.1, Ia.4.1483, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II, Ia.3.VI	K03750	GC_00001004	1	1	0	0	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
molybdopterin synthase catalytic subunit [EC:2.8.1.12]	92.00000450093275	2.1470656007432853e-15	5.0376529550956324e-14	Ia.1.I, Ib.1, Ia.4.1483, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II, Ia.3.VI	K03635	GC_00001006	1	1	0	0	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
cyclic pyranopterin monophosphate synthase [EC:4.6.1.17]	92.00000450093275	2.1470656007432853e-15	5.0376529550956324e-14	Ia.1.I, Ib.1, Ia.4.1483, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II, Ia.3.VI	K03637	GC_00001011	1	1	0	0	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
multiple antibiotic resistance protein	92.0000041155713	2.147065979282895e-15	5.0376529550956324e-14	Ia.1.I, Ia.3.IV	K05595	GC_00001729	1	0	0	0	0	0	1	0	0	0	0	7	2	7	4	1	8	2	5	3	6	47
cell division protein FtsA	92.00000411557113	2.1470659792830634e-15	5.0376529550956324e-14	Ia.1.I, Ib.1	K03590	GC_00001965, GC_00003545	1	1	0	0	0	0	0	0	0	0	0	7	2	7	4	1	8	2	5	3	6	47
L-glyceraldehyde 3-phosphate reductase [EC:1.1.1.-]	89.99621230089102	5.36519671398279e-15	1.2359462248393082e-13	Ia.3.VI	K19265	GC_00001296	0	0	0	0	0	0	0.5	0	0	0	1	7	2	7	4	1	8	2	5	3	6	47
peptide/nickel transport system ATP-binding protein	89.76203151621426	5.970575728165405e-15	1.3271437627343102e-13	Ib.1, Ia.3.V, Ia.3.I, Ia.3.VI	K02031	GC_00001165, GC_00001751	0	1	0	0	0	1	0.5	0	1	0	1	7	2	7	4	1	8	2	5	3	6	47
methyltransferase-like protein 27 [EC:2.1.1.-]	89.76203151621426	5.970575728165405e-15	1.3271437627343102e-13	Ib.1, Ia.3.V, Ia.3.I, Ia.3.VI	K24419	GC_00001159	0	1	0	0	0	1	0.5	0	1	0	1	7	2	7	4	1	8	2	5	3	6	47
2-dehydropantoate 2-reductase [EC:1.1.1.169]	88.78113093307516	9.34059133324197e-15	2.0404360722788924e-13	Ia.3.V, Ia.3.IV, Ia.3.VI	K00077	GC_00001199, GC_00007569	0	0	0	0.25	0	1	1	0	0	0	1	7	2	7	4	1	8	2	5	3	6	47
gamma-butyrobetaine dioxygenase [EC:1.14.11.1]	88.12520675484323	1.2595879590270537e-14	2.7049117696394525e-13	Ib.1, Ia.4.II, Ia.4.RS39, Ia.4.1483, Ia.3.V, Ia.3.III, Ia.3.I, Ia.3.VI	K00471	GC_00001038, GC_00001166	0	1	1	1	1	1	0.5	1	1	0	1	7	2	7	4	1	8	2	5	3	6	47
glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]	88.08510638297739	1.2828156920217518e-14	2.708879136319266e-13	Ia.3.VI	K00111	GC_00001309	0	0	0	0	0	0	0	0	0	0	0.9787	7	2	7	4	1	8	2	5	3	6	47
GMP reductase [EC:1.7.1.7]	87.89110258587519	1.4013682925091748e-14	2.9107108632936466e-13	Ib.1, Ia.3.V, Ia.3.VI	K00364	GC_00001188	0	1	0	0	0	1	0	0	0	0	0.9787	7	2	7	4	1	8	2	5	3	6	47
voltage-gated sodium channel	87.59398298923765	1.6044584351880982e-14	3.278788447392452e-13	Ia.3.III, Ia.3.II, Ia.3.VI	K08714	GC_00001175	0	0.5	0	0	0	0	0.5	1	0	1	1	7	2	7	4	1	8	2	5	3	6	47
membrane-associated protein	86.69116136257558	2.419955631572106e-14	4.866799659050569e-13	Ia.1.I, Ia.3.II, Ia.3.VI	K03975	GC_00001149	1	0	0	0	0	0	0.5	0	0.3333	1	1	7	2	7	4	1	8	2	5	3	6	47
phytanoyl-CoA hydroxylase [EC:1.14.11.18]	86.55341422523104	2.5764575592366028e-14	5.100580824301212e-13	Ib.1, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II, Ia.3.VI	K00477	GC_00001107, GC_00001140, GC_00001200, GC_00001203, GC_00001273, GC_00002696, GC_00003277, GC_00003589, GC_00004585, GC_00004981, GC_00006110, GC_00007242	0.1429	1	0	0	0	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
(Z)-2-((N-methylformamido)methylene)-5-hydroxybutyrolactone dehydrogenase [EC:1.2.1.-]	86.43158123021455	2.7232708483523324e-14	5.227854795246068e-13	Ia.1.I, Ib.1, Ia.3.V, Ia.3.IV, Ia.3.I, Ia.3.II, Ia.3.VI	K23463	GC_00001058	1	1	0	0	0	1	1	0.2	1	1	1	7	2	7	4	1	8	2	5	3	6	47
flavin-dependent trigonelline monooxygenase, oxygenase component [EC:1.14.14.-]	86.43158123021455	2.7232708483523324e-14	5.227854795246068e-13	Ia.1.I, Ib.1, Ia.3.V, Ia.3.IV, Ia.3.I, Ia.3.II, Ia.3.VI	K23464	GC_00001037, GC_00002888	1	1	0	0	0	1	1	0.2	1	1	1	7	2	7	4	1	8	2	5	3	6	47
peptide/nickel transport system permease protein	85.93280157718645	3.416562463854297e-14	6.365859767210873e-13	Ib.1, Ia.3.V, Ia.3.I, Ia.3.VI	K02033	GC_00001157, GC_00001169, GC_00001392, GC_00001398, GC_00001761, GC_00001767	0	1	0	0	0	1	0.5	0	1	0.1667	1	7	2	7	4	1	8	2	5	3	6	47
peptide/nickel transport system substrate-binding protein	85.93280157718645	3.416562463854297e-14	6.365859767210873e-13	Ib.1, Ia.3.V, Ia.3.I, Ia.3.VI	K02035	GC_00001155, GC_00001393, GC_00001766	0	1	0	0	0	1	0.5	0	1	0.1667	1	7	2	7	4	1	8	2	5	3	6	47
lactoylglutathione lyase [EC:4.4.1.5]	85.89509281418448	3.475632119620658e-14	6.38206651530344e-13	Ia.1.I, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.VI	K01759	GC_00001064, GC_00002194	1	0	0	0	0	1	1	1	1	0.8333	1	7	2	7	4	1	8	2	5	3	6	47
SlyX protein	85.7093610297315	3.78177937709964e-14	6.845020672550349e-13	Ia.1.I, Ia.3.IV	K03745	GC_00001901	1	0	0	0	0	0	0.5	0	0	0	0	7	2	7	4	1	8	2	5	3	6	47
beta-carotene hydroxylase [EC:1.14.13.-]	85.38750092343334	4.377348773609606e-14	7.811409712906156e-13	Ia.3.V, Ia.3.IV, Ia.3.VI	K02294	GC_00001161	0	0	0	0	0	1	1	0	0	0.5	1	7	2	7	4	1	8	2	5	3	6	47
aldehyde dehydrogenase [EC:1.2.1.-]	85.05194219034816	5.0980535426046634e-14	8.971158109000151e-13	Ia.1.I, Ib.1, Ia.4.II, Ia.4.RS39, Ia.3.IV, Ia.3.I	K00138	GC_00001444	1	1	1	1	0	0.125	0.5	0	1	0	0	7	2	7	4	1	8	2	5	3	6	47
D-xylose transport system ATP-binding protein [EC:7.5.2.10]	84.37090934192298	6.944926358228272e-14	1.1844720966815722e-12	Ia.3.IV, Ia.3.VI	K10545	GC_00001254	0	0	0	0	0	0.375	1	0	0	0	1	7	2	7	4	1	8	2	5	3	6	47
NADH-quinone oxidoreductase subunit F [EC:7.1.1.2]	84.28689668348292	7.2147790636412e-14	1.1844720966815722e-12	Ia.1.I, Ib.1, Ia.4.1483, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II, Ia.3.VI	K00335	GC_00001017	1	1	0	0	1	0.875	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
molybdenum cofactor guanylyltransferase [EC:2.7.7.77]	84.28689668348292	7.2147790636412e-14	1.1844720966815722e-12	Ia.1.I, Ib.1, Ia.4.1483, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II, Ia.3.VI	K03752	GC_00001031, GC_00003875	1	1	0	0	1	0.875	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
FdhD protein	84.28689668348292	7.2147790636412e-14	1.1844720966815722e-12	Ia.1.I, Ib.1, Ia.4.1483, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II, Ia.3.VI	K02379	GC_00001018	1	1	0	0	1	0.875	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
formate dehydrogenase major subunit [EC:1.17.1.9]	84.28689668348292	7.2147790636412e-14	1.1844720966815722e-12	Ia.1.I, Ib.1, Ia.4.1483, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II, Ia.3.VI	K00123	GC_00001014	1	1	0	0	1	0.875	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
choline monooxygenase [EC:1.14.15.7]	84.26345144895068	7.291935559681345e-14	1.1844720966815722e-12	Ia.1.I, Ib.1, Ia.4.1483, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II, Ia.3.VI	K00499	GC_00001003, GC_00002284	1	1	0	0.25	1	1	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
3-oxoadipate enol-lactonase [EC:3.1.1.24]	83.86351075437875	8.742381365899784e-14	1.3836840815479168e-12	Ia.1.I, Ia.3.V, Ia.3.IV, Ia.3.III, Ia.3.VI	K01055	GC_00001078	1	0	0	0	0	1	1	1	0	0.6667	1	7	2	7	4	1	8	2	5	3	6	47
malyl-CoA/(S)-citramalyl-CoA lyase [EC:4.1.3.24 4.1.3.25]	83.81560116434515	8.934397325205548e-14	1.3836840815479168e-12	Ib.1, Ia.3.IV, Ia.3.I	K08691	GC_00002135	0	1	0	0	0	0	0.5	0	1	0	0	7	2	7	4	1	8	2	5	3	6	47
malate-CoA ligase subunit beta [EC:6.2.1.9]	83.81560116434515	8.934397325205548e-14	1.3836840815479168e-12	Ib.1, Ia.3.IV, Ia.3.I	K14067	GC_00002131	0	1	0	0	0	0	0.5	0	1	0	0	7	2	7	4	1	8	2	5	3	6	47
D-threo-aldose 1-dehydrogenase [EC:1.1.1.122]	83.81047812987762	8.955177165503488e-14	1.3836840815479168e-12	Ia.3.IV, Ia.3.VI	K00064	GC_00001237	0	0	0	0	0	0.5	1	0	0	0	1	7	2	7	4	1	8	2	5	3	6	47
outer membrane protein assembly factor BamC	82.93574124201545	1.3312270856950185e-13	2.0201485040247426e-12	Ia.4.II, Ia.4.1483, Ia.3.III	K07287	GC_00001785	0	0	1	0	1	0	0	0.2	0	0	0	7	2	7	4	1	8	2	5	3	6	47
CoA:oxalate CoA-transferase [EC:2.8.3.19]	82.92235312540032	1.3393249750440283e-13	2.0201485040247426e-12	Ia.1.I, Ib.1, Ia.4.II, Ia.4.RS39, Ia.3.I	K18702	GC_00001520	0.2857	1	1	1	0	0	0	0	1	0	0	7	2	7	4	1	8	2	5	3	6	47
