qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	HMW_gene_callers_id	genome	genome_gene_callers_id
HMW_xHP1_006-c_000000111988_split_00001-725153	HIMB1427-00000000001_split_00001_32031	98.25	4743	83	0	1	4743	1	4743	0	8299	725153	HIMB1427	32031
HMW_xHP1_006-c_000000111988_split_00001-725153	HIMB1412-00000000001_split_00034_10700	92.913	508	36	0	1049	1556	617	1124	0	739	725153	HIMB1412	10700
HMW_xHP1_006-c_000000111988_split_00001-725153	HIMB122-00000000001_split_00009_8659	74.851	1173	272	20	3157	4316	901	2063	2.55E-145	510	725153	HIMB122	8659
HMW_xHP1_006-c_000000111988_split_00001-725153	HIMB1488-00000000001_split_00015_92613	74.808	1171	276	18	3157	4316	901	2063	2.55E-145	510	725153	HIMB1488	92613
HMW_xHP1_006-c_000000111988_split_00001-725153	HIMB1564-00000000001_split_00021_55814	85.714	84	12	0	869	952	1289	1372	1.42E-18	89.8	725153	HIMB1564	55814
HMW_xHP1_006-c_000000142212_split_00001-924472	HIMB1412-00000000001_split_00034_10700	98.706	4249	55	0	6	4254	222	4470	0	7542	924472	HIMB1412	10700
HMW_xHP1_006-c_000000142212_split_00001-924472	HIMB1412-00000000001_split_00034_10700	95.455	66	3	0	4189	4254	4609	4674	1.26E-23	106	924472	HIMB1412	10700
HMW_xHP1_006-c_000000142212_split_00001-924472	HIMB1427-00000000001_split_00001_32031	87.082	658	71	6	401	1057	1049	1693	0	732	924472	HIMB1427	32031
HMW_xHP1_006-c_000000142212_split_00001-924472	HIMB1420-00000000001_split_00002_21725	92.52	508	38	0	401	908	1049	1556	0	728	924472	HIMB1420	21725
HMW_xHP1_006-c_000000151518_split_00001-985827	HIMB1420-00000000001_split_00002_21725	99.238	1575	12	0	1	1575	1	1575	0	2843	985827	HIMB1420	21725
HMW_xHP1_006-c_000000151518_split_00001-985827	HIMB1427-00000000001_split_00001_32031	99.048	1575	15	0	1	1575	1	1575	0	2826	985827	HIMB1427	32031
HMW_xHP1_006-c_000000151518_split_00001-985827	HIMB1412-00000000001_split_00034_10700	92.717	508	37	0	1049	1556	617	1124	0	734	985827	HIMB1412	10700
HMW_xHP1_006-c_000000158248_split_00001-1030893	HIMB1412-00000000001_split_00034_10700	97.074	5878	146	13	1	5877	2914	8766	0	9878	1030893	HIMB1412	10700
HMW_xHP1_006-c_000000158248_split_00001-1030893	HIMB1412-00000000001_split_00034_10700	95.294	85	4	0	1696	1780	4405	4489	2.23E-32	135	1030893	HIMB1412	10700
HMW_xHP1_006-c_000000158248_split_00001-1030893	HIMB1412-00000000001_split_00034_10700	92.941	85	6	0	1492	1576	4609	4693	4.82E-29	124	1030893	HIMB1412	10700
HMW_xHP1_006-c_000000158248_split_00001-1030893	HIMB1420-00000000001_split_00002_21725	88.703	3700	379	17	2187	5877	5865	9534	0	4481	1030893	HIMB1420	21725
HMW_xHP1_006-c_000000158248_split_00001-1030893	HIMB1427-00000000001_split_00001_32031	91.325	1879	161	2	1876	3753	5167	7044	0	2566	1030893	HIMB1427	32031
HMW_xHP1_006-c_000000158248_split_00001-1030893	HIMB1564-00000000001_split_00021_55814	84.478	2068	295	19	3795	5846	4095	6152	0	2017	1030893	HIMB1564	55814
HMW_xHP1_006-c_000000158248_split_00001-1030893	HIMB5-00000000001_split_00038_125575	78.4	1713	342	22	4168	5866	3646	5344	0	1088	1030893	HIMB5	125575
HMW_xHP1_006-c_000000158248_split_00001-1030893	HIMB4-00000000001_split_00044_119221	75.613	1714	375	29	4166	5859	4487	6177	0	809	1030893	HIMB4	119221
HMW_xHP1_006-c_000000158248_split_00001-1030893	HIMB4-00000000001_split_00044_119221	84.527	349	49	4	1504	1849	3412	3758	4.39E-94	340	1030893	HIMB4	119221
HMW_xHP1_006-c_000000158248_split_00001-1030893	HIMB4-00000000001_split_00044_119221	83.636	110	18	0	1459	1568	3571	3680	6.28E-23	104	1030893	HIMB4	119221
HMW_xHP1_006-c_000000158248_split_00001-1030893	HIMB1505-00000000001_split_00039_112850	75.613	1714	375	29	4166	5859	4487	6177	0	809	1030893	HIMB1505	112850
HMW_xHP1_006-c_000000158248_split_00001-1030893	HIMB1505-00000000001_split_00039_112850	84.527	349	49	4	1504	1849	3412	3758	4.39E-94	340	1030893	HIMB1505	112850
HMW_xHP1_006-c_000000158248_split_00001-1030893	HIMB1505-00000000001_split_00039_112850	83.636	110	18	0	1459	1568	3571	3680	6.28E-23	104	1030893	HIMB1505	112850
HMW_xHP1_006-c_000000162493_split_00001-1059631	HIMB4-00000000001_split_00044_119221	96.363	3437	118	5	777	4212	575	4005	0	5648	1059631	HIMB4	119221
HMW_xHP1_006-c_000000162493_split_00001-1059631	HIMB4-00000000001_split_00044_119221	91.172	691	57	4	1	689	1	689	0	935	1059631	HIMB4	119221
HMW_xHP1_006-c_000000162493_split_00001-1059631	HIMB4-00000000001_split_00044_119221	74.895	474	101	13	3431	3895	3020	3484	5.57E-52	200	1059631	HIMB4	119221
HMW_xHP1_006-c_000000162493_split_00001-1059631	HIMB1505-00000000001_split_00039_112850	96.334	3437	119	5	777	4212	575	4005	0	5642	1059631	HIMB1505	112850
HMW_xHP1_006-c_000000162493_split_00001-1059631	HIMB1505-00000000001_split_00039_112850	91.172	691	57	4	1	689	1	689	0	935	1059631	HIMB1505	112850
HMW_xHP1_006-c_000000162493_split_00001-1059631	HIMB1505-00000000001_split_00039_112850	74.895	474	101	13	3431	3895	3020	3484	5.57E-52	200	1059631	HIMB1505	112850
HMW_xHP1_006-c_000000162493_split_00001-1059631	HIMB1412-00000000001_split_00034_10700	87.032	347	36	7	3619	3961	4417	4758	5.15E-107	383	1059631	HIMB1412	10700
HMW_xHP1_006-c_000000162493_split_00001-1059631	HIMB1412-00000000001_split_00034_10700	89.412	85	9	0	3811	3895	4405	4489	3.47E-24	108	1059631	HIMB1412	10700
HMW_xHP1_006-c_000000189110_split_00001-1236787	HIMB1412-00000000001_split_00034_10700	99.709	3090	9	0	1	3090	1744	4833	0	5657	1236787	HIMB1412	10700
HMW_xHP1_006-c_000000189110_split_00001-1236787	HIMB1412-00000000001_split_00034_10700	94.118	85	5	0	2866	2950	4405	4489	5.43E-31	130	1236787	HIMB1412	10700
HMW_xHP1_006-c_000000189110_split_00001-1236787	HIMB1412-00000000001_split_00034_10700	92.941	85	6	0	2662	2746	4609	4693	2.53E-29	124	1236787	HIMB1412	10700
HMW_xHP1_006-c_000000189110_split_00001-1236787	HIMB4-00000000001_split_00044_119221	84.348	345	49	4	2674	3015	3412	3754	3.85E-92	333	1236787	HIMB4	119221
HMW_xHP1_006-c_000000189110_split_00001-1236787	HIMB4-00000000001_split_00044_119221	83.636	110	18	0	2629	2738	3571	3680	3.29E-23	104	1236787	HIMB4	119221
HMW_xHP1_006-c_000000189110_split_00001-1236787	HIMB1505-00000000001_split_00039_112850	84.348	345	49	4	2674	3015	3412	3754	3.85E-92	333	1236787	HIMB1505	112850
HMW_xHP1_006-c_000000189110_split_00001-1236787	HIMB1505-00000000001_split_00039_112850	83.636	110	18	0	2629	2738	3571	3680	3.29E-23	104	1236787	HIMB1505	112850
HMW_xHP1_006-c_000000190180_split_00001-1243721	HIMB1412-00000000001_split_00034_10700	77.563	673	139	11	1093	1759	4027	4693	2.81E-111	396	1243721	HIMB1412	10700
HMW_xHP1_006-c_000000190180_split_00001-1243721	HIMB1412-00000000001_split_00034_10700	72.36	445	111	11	498	936	3162	3600	3.15E-31	130	1243721	HIMB1412	10700
HMW_xHP1_006-c_000000190180_split_00001-1243721	HIMB4-00000000001_split_00044_119221	83.453	278	44	2	1483	1759	3412	3688	1.38E-69	257	1243721	HIMB4	119221
HMW_xHP1_006-c_000000190180_split_00001-1243721	HIMB4-00000000001_split_00044_119221	92	50	4	0	1471	1520	3604	3653	1.94E-13	71.3	1243721	HIMB4	119221
HMW_xHP1_006-c_000000190180_split_00001-1243721	HIMB1505-00000000001_split_00039_112850	83.453	278	44	2	1483	1759	3412	3688	1.38E-69	257	1243721	HIMB1505	112850
HMW_xHP1_006-c_000000190180_split_00001-1243721	HIMB1505-00000000001_split_00039_112850	92	50	4	0	1471	1520	3604	3653	1.94E-13	71.3	1243721	HIMB1505	112850
HMW_xHP1_006-c_000000190180_split_00001-1243721	HIMB1420-00000000001_split_00002_21725	74.023	435	102	9	505	935	4465	4892	2.40E-42	167	1243721	HIMB1420	21725
HMW_xHP1_006-c_000000190180_split_00001-1243721	HIMB1427-00000000001_split_00001_32031	73.843	432	108	4	505	935	4465	4892	2.40E-42	167	1243721	HIMB1427	32031
HMW_xHP1_006-c_000000201086_split_00001-1316041	HIMB1427-00000000001_split_00001_32031	97.865	1546	33	0	1	1546	1405	2950	0	2673	1316041	HIMB1427	32031
HMW_xHP1_006-c_000000201086_split_00001-1316041	HIMB1420-00000000001_split_00002_21725	97.671	1546	36	0	1	1546	1405	2950	0	2656	1316041	HIMB1420	21725
HMW_xHP1_006-c_000000215175_split_00001-1409495	HIMB1420-00000000001_split_00002_21725	99.836	610	0	1	1	609	589	1198	0	1120	1409495	HIMB1420	21725
HMW_xHP1_006-c_000000215175_split_00001-1409495	HIMB1427-00000000001_split_00001_32031	99.836	610	0	1	1	609	589	1198	0	1120	1409495	HIMB1427	32031
HMW_xHP1_006-c_000000215175_split_00001-1409495	HIMB1412-00000000001_split_00034_10700	95.333	150	6	1	461	609	617	766	5.98E-64	237	1409495	HIMB1412	10700
HMW_xHP1_006-c_000000215175_split_00001-1409495	HIMB1564-00000000001_split_00021_55814	85.714	84	12	0	281	364	1289	1372	1.77E-19	89.8	1409495	HIMB1564	55814
HMW_xHP1_006-c_000000228659_split_00001-1498445	HIMB1420-00000000001_split_00002_21725	95.831	5805	236	5	1	5802	3733	9534	0	9374	1498445	HIMB1420	21725
HMW_xHP1_006-c_000000228659_split_00001-1498445	HIMB1412-00000000001_split_00034_10700	90.269	3679	337	15	2133	5802	5100	8766	0	4791	1498445	HIMB1412	10700
HMW_xHP1_006-c_000000228659_split_00001-1498445	HIMB1427-00000000001_split_00001_32031	80.755	3710	632	70	2133	5801	5478	9146	0	2820	1498445	HIMB1427	32031
HMW_xHP1_006-c_000000228659_split_00001-1498445	HIMB1427-00000000001_split_00001_32031	97.617	1385	33	0	1	1385	3733	5117	0	2375	1498445	HIMB1427	32031
HMW_xHP1_006-c_000000228659_split_00001-1498445	HIMB1564-00000000001_split_00021_55814	85.307	2103	291	14	3690	5780	4065	6161	0	2156	1498445	HIMB1564	55814
HMW_xHP1_006-c_000000228659_split_00001-1498445	HIMB5-00000000001_split_00038_125575	78.667	1725	341	22	4090	5802	3646	5355	0	1122	1498445	HIMB5	125575
HMW_xHP1_006-c_000000228659_split_00001-1498445	HIMB122-00000000001_split_00009_8659	79.658	585	117	2	1	584	1480	2063	5.42E-118	420	1498445	HIMB122	8659
HMW_xHP1_006-c_000000228659_split_00001-1498445	HIMB1488-00000000001_split_00015_92613	79.316	585	119	2	1	584	1480	2063	1.17E-114	409	1498445	HIMB1488	92613
HMW_xHP1_006-c_000000251411_split_00001-1646177	HIMB1412-00000000001_split_00034_10700	96.289	5686	185	13	1	5685	3106	8766	0	9308	1646177	HIMB1412	10700
HMW_xHP1_006-c_000000251411_split_00001-1646177	HIMB1412-00000000001_split_00034_10700	95.294	85	4	0	1504	1588	4405	4489	2.15E-32	135	1646177	HIMB1412	10700
HMW_xHP1_006-c_000000251411_split_00001-1646177	HIMB1412-00000000001_split_00034_10700	92.941	85	6	0	1300	1384	4609	4693	4.66E-29	124	1646177	HIMB1412	10700
HMW_xHP1_006-c_000000251411_split_00001-1646177	HIMB1420-00000000001_split_00002_21725	88.544	3701	383	19	1995	5685	5865	9534	0	4447	1646177	HIMB1420	21725
HMW_xHP1_006-c_000000251411_split_00001-1646177	HIMB1427-00000000001_split_00001_32031	91.272	1879	162	2	1684	3561	5167	7044	0	2560	1646177	HIMB1427	32031
HMW_xHP1_006-c_000000251411_split_00001-1646177	HIMB1564-00000000001_split_00021_55814	84.485	2069	293	21	3603	5654	4095	6152	0	2017	1646177	HIMB1564	55814
HMW_xHP1_006-c_000000251411_split_00001-1646177	HIMB4-00000000001_split_00044_119221	75.758	1716	369	33	3974	5667	4487	6177	0	821	1646177	HIMB4	119221
HMW_xHP1_006-c_000000251411_split_00001-1646177	HIMB4-00000000001_split_00044_119221	84.638	345	48	4	1312	1653	3412	3754	1.53E-93	339	1646177	HIMB4	119221
HMW_xHP1_006-c_000000251411_split_00001-1646177	HIMB4-00000000001_split_00044_119221	90.909	77	7	0	1300	1376	3604	3680	6.07E-23	104	1646177	HIMB4	119221
HMW_xHP1_006-c_000000251411_split_00001-1646177	HIMB1505-00000000001_split_00039_112850	75.758	1716	369	33	3974	5667	4487	6177	0	821	1646177	HIMB1505	112850
HMW_xHP1_006-c_000000251411_split_00001-1646177	HIMB1505-00000000001_split_00039_112850	84.638	345	48	4	1312	1653	3412	3754	1.53E-93	339	1646177	HIMB1505	112850
HMW_xHP1_006-c_000000251411_split_00001-1646177	HIMB1505-00000000001_split_00039_112850	90.909	77	7	0	1300	1376	3604	3680	6.07E-23	104	1646177	HIMB1505	112850
HMW_xHP1_006-c_000000256008_split_00001-1675305	HIMB1420-00000000001_split_00002_21725	95.156	7473	332	21	493	7945	523	7985	0	11767	1675305	HIMB1420	21725
HMW_xHP1_006-c_000000256008_split_00001-1675305	HIMB1427-00000000001_split_00001_32031	94.518	4779	235	21	493	5253	523	5292	0	7348	1675305	HIMB1427	32031
HMW_xHP1_006-c_000000256008_split_00001-1675305	HIMB1427-00000000001_split_00001_32031	84.747	1816	260	16	5826	7633	5478	7284	0	1803	1675305	HIMB1427	32031
HMW_xHP1_006-c_000000256008_split_00001-1675305	HIMB1412-00000000001_split_00034_10700	93.315	2124	135	6	5826	7945	5100	7220	0	3129	1675305	HIMB1412	10700
HMW_xHP1_006-c_000000256008_split_00001-1675305	HIMB1412-00000000001_split_00034_10700	88.19	652	62	7	1007	1645	617	1266	0	763	1675305	HIMB1412	10700
HMW_xHP1_006-c_000000256008_split_00001-1675305	HIMB1412-00000000001_split_00034_10700	75.366	889	205	11	4375	5256	3121	4002	9.61E-117	416	1675305	HIMB1412	10700
HMW_xHP1_006-c_000000256008_split_00001-1675305	HIMB1412-00000000001_split_00034_10700	85.185	81	7	4	1	77	1	80	5.15E-15	78.7	1675305	HIMB1412	10700
HMW_xHP1_006-c_000000256008_split_00001-1675305	HIMB1564-00000000001_split_00021_55814	84.524	84	13	0	827	910	1289	1372	1.11E-16	84.2	1675305	HIMB1564	55814
HMW_xHP1_006-c_000000258784_split_00001-1692947	HIMB1420-00000000001_split_00002_21725	97.431	2919	75	0	1	2919	4387	7305	0	4975	1692947	HIMB1420	21725
HMW_xHP1_006-c_000000258784_split_00001-1692947	HIMB1412-00000000001_split_00034_10700	94.032	1441	86	0	1479	2919	5100	6540	0	2185	1692947	HIMB1412	10700
HMW_xHP1_006-c_000000258784_split_00001-1692947	HIMB1427-00000000001_split_00001_32031	91.054	1442	127	2	1479	2919	5478	6918	0	1947	1692947	HIMB1427	32031
HMW_xHP1_006-c_000000258784_split_00001-1692947	HIMB1427-00000000001_split_00001_32031	97.811	731	16	0	1	731	4387	5117	0	1262	1692947	HIMB1427	32031
HMW_xHP1_006-c_000000272224_split_00001-1777055	HIMB1490-00000000005_split_00004_108996	86.957	69	9	0	1015	1083	2179	2247	1.08E-15	78.7	1777055	HIMB1490	108996
HMW_xHP1_006-c_000000272224_split_00001-1777055	HIMB1491-00000000001_split_00009_94068	86.957	69	9	0	1015	1083	2179	2247	1.08E-15	78.7	1777055	HIMB1491	94068
HMW_xHP1_006-c_000000323329_split_00001-2085203	HIMB1412-00000000001_split_00034_10700	98.903	3738	41	0	1	3738	1063	4800	0	6676	2085203	HIMB1412	10700
HMW_xHP1_006-c_000000323329_split_00001-2085203	HIMB1412-00000000001_split_00034_10700	95.294	85	4	0	3547	3631	4405	4489	1.41E-32	135	2085203	HIMB1412	10700
HMW_xHP1_006-c_000000323329_split_00001-2085203	HIMB1412-00000000001_split_00034_10700	92.941	85	6	0	3343	3427	4609	4693	3.06E-29	124	2085203	HIMB1412	10700
HMW_xHP1_006-c_000000323329_split_00001-2085203	HIMB4-00000000001_split_00044_119221	84.348	345	49	4	3355	3696	3412	3754	4.67E-92	333	2085203	HIMB4	119221
HMW_xHP1_006-c_000000323329_split_00001-2085203	HIMB4-00000000001_split_00044_119221	83.636	110	18	0	3310	3419	3571	3680	3.98E-23	104	2085203	HIMB4	119221
HMW_xHP1_006-c_000000323329_split_00001-2085203	HIMB1505-00000000001_split_00039_112850	84.348	345	49	4	3355	3696	3412	3754	4.67E-92	333	2085203	HIMB1505	112850
HMW_xHP1_006-c_000000323329_split_00001-2085203	HIMB1505-00000000001_split_00039_112850	83.636	110	18	0	3310	3419	3571	3680	3.98E-23	104	2085203	HIMB1505	112850
HMW_xHP1_006-c_000000323372_split_00001-2085481	HIMB1412-00000000001_split_00034_10700	91.358	1377	118	1	3	1379	2401	3776	0	1882	2085481	HIMB1412	10700
HMW_xHP1_006-c_000000323372_split_00001-2085481	HIMB1564-00000000001_split_00021_55814	73.179	604	150	11	1789	2386	3037	3634	2.92E-54	207	2085481	HIMB1564	55814
HMW_xHP1_006-c_000000323372_split_00001-2085481	HIMB122-00000000001_split_00009_8659	74.595	370	84	8	1843	2207	4141	4505	3.85E-38	154	2085481	HIMB122	8659
HMW_xHP1_006-c_000000323386_split_00001-2085563	HIMB1412-00000000001_split_00034_10700	96.381	525	18	1	1	525	3001	3524	0	863	2085563	HIMB1412	10700
HMW_xHP1_006-c_000000323387_split_00001-2085566	HIMB1412-00000000001_split_00034_10700	98.478	2628	39	1	1	2628	2635	5261	0	4630	2085566	HIMB1412	10700
HMW_xHP1_006-c_000000323387_split_00001-2085566	HIMB1412-00000000001_split_00034_10700	95.294	85	4	0	1975	2059	4405	4489	9.91E-33	135	2085566	HIMB1412	10700
HMW_xHP1_006-c_000000323387_split_00001-2085566	HIMB1412-00000000001_split_00034_10700	92.941	85	6	0	1771	1855	4609	4693	2.15E-29	124	2085566	HIMB1412	10700
HMW_xHP1_006-c_000000323387_split_00001-2085566	HIMB1427-00000000001_split_00001_32031	91.561	474	39	1	2155	2628	5167	5639	0	652	2085566	HIMB1427	32031
HMW_xHP1_006-c_000000323387_split_00001-2085566	HIMB4-00000000001_split_00044_119221	84.638	345	48	4	1783	2124	3412	3754	7.04E-94	339	2085566	HIMB4	119221
HMW_xHP1_006-c_000000323387_split_00001-2085566	HIMB4-00000000001_split_00044_119221	90.909	77	7	0	1771	1847	3604	3680	2.79E-23	104	2085566	HIMB4	119221
HMW_xHP1_006-c_000000323387_split_00001-2085566	HIMB1505-00000000001_split_00039_112850	84.638	345	48	4	1783	2124	3412	3754	7.04E-94	339	2085566	HIMB1505	112850
HMW_xHP1_006-c_000000323387_split_00001-2085566	HIMB1505-00000000001_split_00039_112850	90.909	77	7	0	1771	1847	3604	3680	2.79E-23	104	2085566	HIMB1505	112850
HMW_xHP1_006-c_000000323387_split_00001-2085566	HIMB1420-00000000001_split_00002_21725	82.209	163	28	1	2466	2628	5865	6026	7.66E-34	139	2085566	HIMB1420	21725
HMW_xHP1_006-c_000000323397_split_00001-2085640	HIMB1412-00000000001_split_00034_10700	99.708	684	0	2	1	684	2768	3449	0	1251	2085640	HIMB1412	10700
HMW_xHP1_006-c_000000323398_split_00001-2085645	HIMB1412-00000000001_split_00034_10700	99.013	4659	45	1	1	4659	916	5573	0	8347	2085645	HIMB1412	10700
HMW_xHP1_006-c_000000323398_split_00001-2085645	HIMB1412-00000000001_split_00034_10700	95.294	85	4	0	3694	3778	4405	4489	1.76E-32	135	2085645	HIMB1412	10700
HMW_xHP1_006-c_000000323398_split_00001-2085645	HIMB1412-00000000001_split_00034_10700	92.941	85	6	0	3490	3574	4609	4693	3.82E-29	124	2085645	HIMB1412	10700
HMW_xHP1_006-c_000000323398_split_00001-2085645	HIMB1427-00000000001_split_00001_32031	92.112	786	61	1	3874	4659	5167	5951	0	1107	2085645	HIMB1427	32031
HMW_xHP1_006-c_000000323398_split_00001-2085645	HIMB1427-00000000001_split_00001_32031	79.109	359	61	6	1	358	1348	1693	1.69E-62	235	2085645	HIMB1427	32031
HMW_xHP1_006-c_000000323398_split_00001-2085645	HIMB1420-00000000001_split_00002_21725	88.842	475	52	1	4185	4659	5865	6338	5.24E-167	582	2085645	HIMB1420	21725
HMW_xHP1_006-c_000000323398_split_00001-2085645	HIMB1420-00000000001_split_00002_21725	86.603	209	28	0	1	209	1348	1556	2.19E-61	231	2085645	HIMB1420	21725
HMW_xHP1_006-c_000000323398_split_00001-2085645	HIMB4-00000000001_split_00044_119221	84.348	345	49	4	3502	3843	3412	3754	5.82E-92	333	2085645	HIMB4	119221
