items	num_genomes_gene_cluster_has_hits	num_genes_in_gene_cluster	max_num_paralogs	SCG	functional_homogeneity_index	geometric_homogeneity_index	combined_homogeneity_index	AAI_min	AAI_max	AAI_avg	ECGs_and_EAGs!EAG	ECGs_and_EAGs!ECG	ECGs_and_EAGs!NA	EAG_ECG_ratio
GC_00000024	92	95	2	0	0.945377628961957	0.994785891370503	0.969452644019923	0.680616740088106	1.0	0.925049947955464	0	83	12	0.0
GC_00000025	92	95	2	0	0.944838737980776	0.982317319679001	0.963213594387611	0.00469483568075117	1.0	0.90372905593321	0	83	12	0.0
GC_00000026	92	95	2	0	0.806946572979017	0.953429059919491	0.874093344741265	0.0513595166163142	1.0	0.725103270485786	1	82	12	0.0120481927710843
GC_00000027	92	95	2	0	0.831366725315168	0.934148577013744	0.879765859186031	0.103225806451613	1.0	0.754925887126877	3	79	13	0.0365853658536585
GC_00000028	92	95	3	0	0.739290641398581	0.983255365916398	0.843996603910748	0.025462962962963	1.0	0.65748154369375	2	81	12	0.0240963855421687
GC_00000029	92	95	2	0	0.751036856193193	0.945357648508479	0.837067597597362	0.258426966292135	1.0	0.684409325968519	7	76	12	0.0843373493975904
GC_00000030	92	95	2	0	0.796425383810262	0.862060732271142	0.827944283536107	0.426315789473684	1.0	0.764831732186008	6	77	12	0.072289156626506
GC_00000031	92	95	2	0	0.893914976043531	0.970870368461182	0.930804786429571	0.0187845303867403	1.0	0.839754258103234	2	81	12	0.0240963855421687
GC_00000032	92	94	2	0	0.966983104510562	0.933996159638329	0.950203427339727	0.730496453900709	1.0	0.936439557301427	1	81	12	0.0121951219512195
GC_00000033	92	94	2	0	0.928879030840742	0.998699945165285	0.962524958731373	0.722222222222222	1.0	0.898635668711166	4	78	12	0.0487804878048781
GC_00000034	92	94	2	0	0.96487881763031	0.941296931173388	0.952942005016716	0.799019607843137	1.0	0.948990898120859	0	82	12	0.0
GC_00000035	92	94	2	0	0.87091496915239	0.981306887020857	0.922821263975906	0.514705882352941	1.0	0.802807945415641	1	81	12	0.0121951219512195
GC_00000036	81	94	2	0	0.830843692980378	0.816842165117732	0.82378343870946	0.347222222222222	1.0	0.795975367955464	0	77	17	0.0
GC_00000037	92	94	2	0	0.811246044163851	0.961312807727728	0.87992701809696	0.0368271954674221	1.0	0.724610376269554	4	78	12	0.0487804878048781
GC_00000038	92	94	2	0	0.884173863500463	0.904719378710635	0.894328638046166	0.521052631578947	1.0	0.829946176353719	1	81	12	0.0121951219512195
GC_00000039	92	94	2	0	0.906726681670418	1.0	0.951081967213115	0.693023255813954	1.0	0.864411847642762	4	78	12	0.0487804878048781
GC_00000040	92	94	2	0	0.917758535189451	0.989671680827614	0.952359488161434	0.722991689750693	1.0	0.888587650537318	0	82	12	0.0
GC_00000041	89	94	2	0	0.814258401947754	0.993114807412449	0.894836851455344	0.49290780141844	1.0	0.759738995409785	2	75	17	0.025974025974026
GC_00000042	92	94	2	0	0.853638975155852	0.959166871264533	0.903331403753458	0.574074074074074	1.0	0.793691445582698	8	74	12	0.0975609756097561
GC_00000043	92	94	2	0	0.954564965762191	1.0	0.976754400578293	0.829207920792079	1.0	0.937603489243914	1	81	12	0.0121951219512195
GC_00000044	92	94	2	0	0.907281266322201	1.0	0.951386963572191	0.688679245283019	1.0	0.87327497269741	2	80	12	0.024390243902439
GC_00000045	92	94	2	0	0.878363854318224	1.0	0.935243565615819	0.566502463054187	1.0	0.837166817120903	9	73	12	0.109756097560976
GC_00000046	92	94	2	0	0.812367135531785	0.958595956483231	0.879444472684732	0.529801324503311	1.0	0.76252725292074	7	75	12	0.0853658536585366
GC_00000047	92	94	2	0	0.917544695024687	0.997820170646068	0.956000207139966	0.742802303262956	1.0	0.886660949347273	1	81	12	0.0121951219512195
GC_00000048	92	94	2	0	0.853853705562656	0.963722139522752	0.905467270803883	0.581395348837209	1.0	0.815666682628104	2	80	12	0.024390243902439
GC_00000049	92	94	2	0	0.911277603231517	0.909003011517089	0.910138886228732	0.0886075949367089	1.0	0.856340263358325	5	77	12	0.0609756097560976
GC_00000050	92	94	2	0	0.825316815145933	0.945992281451977	0.88154386874671	0.124600638977636	1.0	0.740710447817923	2	80	12	0.024390243902439
GC_00000051	92	94	2	0	0.872159368881651	0.96667256372203	0.916987048291295	0.0353535353535354	1.0	0.789139392090662	0	82	12	0.0
GC_00000052	92	94	2	0	0.909724588615711	0.981627270151547	0.944309183268125	0.0	1.0	0.857648722290153	2	80	12	0.024390243902439
GC_00000053	92	94	3	0	0.788672726586783	0.976990608956989	0.872789089408702	0.0456553755522828	1.0	0.716130784333347	8	74	12	0.0975609756097561
GC_00000054	92	94	2	0	0.678141030295387	0.902468942825217	0.774386128272752	0.0588235294117647	1.0	0.578359373948618	63	19	12	0.768292682926829
GC_00000055	92	94	2	0	0.834885502090294	0.941520668183781	0.885002505551674	0.021523178807947	1.0	0.740917713224276	5	77	12	0.0609756097560976
GC_00000056	92	94	2	0	0.929937472906218	0.956035840483743	0.942806080229402	0.0468164794007491	1.0	0.867420357360437	0	80	14	0.0
GC_00000057	92	94	2	0	0.857612163906913	0.974772409887877	0.91244675131643	0.556776556776557	1.0	0.792368616665116	12	70	12	0.146341463414634
GC_00000058	92	94	2	0	0.814909027238945	0.97543639326001	0.887976044470178	0.549242424242424	1.0	0.741515186178879	2	80	12	0.024390243902439
GC_00000059	92	94	2	0	0.885644525124867	0.994157561591824	0.936769043674314	0.691176470588235	1.0	0.848854078350626	2	80	12	0.024390243902439
GC_00000060	92	94	2	0	0.841102919014043	0.940296087198843	0.887937829674432	0.00852878464818763	1.0	0.71076083451748	2	80	12	0.024390243902439
GC_00000061	92	94	2	0	0.8027725668304	0.919104107337433	0.857008605204809	0.0413625304136253	1.0	0.696260077340089	4	78	12	0.0487804878048781
GC_00000062	92	94	2	0	0.815246315670537	0.978792758796948	0.889565006437851	0.528384279475983	1.0	0.760372802482419	4	78	12	0.0487804878048781
GC_00000063	92	94	2	0	0.811841142194466	0.972955620359595	0.885126439838366	0.587121212121212	1.0	0.749180202852131	3	79	12	0.0365853658536585
GC_00000064	92	94	2	0	0.72657841385931	0.913229013689841	0.809280988864381	0.0459183673469388	1.0	0.599640954528689	14	68	12	0.170731707317073
GC_00000065	92	94	2	0	0.947739562898572	0.984131495944678	0.965592759963806	0.756449948400413	1.0	0.924337132413442	0	82	12	0.0
GC_00000066	92	94	2	0	0.792139402573414	0.956374531663879	0.866543795064594	0.0192307692307692	1.0	0.704178285681374	4	78	12	0.0487804878048781
GC_00000067	92	94	2	0	0.758625419927884	0.950280568846036	0.843705856642656	0.0756013745704467	1.0	0.691239747130612	41	41	12	0.5
GC_00000068	92	94	2	0	0.81042689166791	0.968789494409659	0.882560507849006	0.479876160990712	1.0	0.756351494829771	1	81	12	0.0121951219512195
GC_00000069	92	94	2	0	0.843586681987176	0.974349786065803	0.90426537732914	0.598404255319149	1.0	0.801051538914606	2	80	12	0.024390243902439
GC_00000070	92	94	2	0	0.859490802631403	0.970805585578374	0.911763228428741	0.612040133779264	1.0	0.804085761353524	7	75	12	0.0853658536585366
GC_00000071	92	94	2	0	0.897786135192048	0.964321587890304	0.929865163806108	0.734082397003745	1.0	0.865219950696495	1	81	12	0.0121951219512195
GC_00000072	92	94	2	0	0.822162499550593	0.983166938245029	0.895485300909989	0.529616724738676	1.0	0.73150165367719	3	79	12	0.0365853658536585
GC_00000073	92	93	2	0	0.907673106356703	0.975192635249181	0.940222246306165	0.108991825613079	1.0	0.868339759978497	0	81	12	0.0
GC_00000074	92	93	2	0	0.973514407479891	0.980786158789815	0.977136754415672	0.0036036036036036	1.0	0.940019963862881	0	81	12	0.0
GC_00000075	92	93	2	0	0.925265260944286	0.9850549885092	0.954224467073711	0.00483091787439614	1.0	0.873243174267627	6	75	12	0.0740740740740741
GC_00000076	92	93	2	0	0.881724890848925	0.983043256471719	0.929631610511693	0.644444444444444	1.0	0.842564022648174	1	80	12	0.0123456790123457
GC_00000077	92	93	2	0	0.915173066070271	0.983499467478919	0.9481068559502	0.554945054945055	1.0	0.885499026452743	0	81	12	0.0
GC_00000078	92	93	2	0	0.952788409111362	0.98581742204947	0.969021549539385	0.772321428571429	1.0	0.934290055433113	0	81	12	0.0
GC_00000079	92	93	2	0	0.915699814550775	0.987014395540965	0.950020653824023	0.685245901639344	1.0	0.868227071022923	0	81	12	0.0
GC_00000080	92	93	2	0	0.938436608777704	0.999153101250707	0.967843546169215	0.805704099821747	1.0	0.917756477405021	0	81	12	0.0
GC_00000081	92	93	2	0	0.938092758809496	0.984755981396446	0.960858164270794	0.760617760617761	1.0	0.901095846397389	1	80	12	0.0123456790123457
GC_00000082	92	93	2	0	0.808134892577023	0.902620272045238	0.852768358291858	0.0975609756097561	1.0	0.748946206152104	1	80	12	0.0123456790123457
GC_00000083	92	93	2	0	0.871929329753859	0.973351089932893	0.919852998390832	0.559006211180124	1.0	0.804510437628311	4	77	12	0.0493827160493827
GC_00000084	92	93	2	0	0.803864209051903	0.902643537861932	0.850395006915642	0.432432432432432	1.0	0.767563145192879	4	77	12	0.0493827160493827
GC_00000085	92	93	2	0	0.96527276642057	0.99349962279533	0.979182813289838	0.841823056300268	1.0	0.952571106991691	0	81	12	0.0
GC_00000086	92	93	2	0	0.904847599720671	0.977671505679922	0.939850982326708	0.0852272727272727	1.0	0.853494623655914	7	74	12	0.0864197530864197
GC_00000087	92	93	2	0	0.921307907479713	0.977073047031699	0.948371423845519	0.0756457564575646	1.0	0.870539911570224	2	79	12	0.0246913580246914
GC_00000088	92	93	2	0	0.934926157814745	0.958019435934351	0.946331931892461	0.113960113960114	1.0	0.879434168587979	0	81	12	0.0
GC_00000089	92	93	2	0	0.941111975282615	0.983970756206372	0.962064275832402	0.0046875	1.0	0.896767984455353	0	81	12	0.0
GC_00000090	92	93	2	0	0.91756462785072	0.962947366347954	0.939708382151955	0.0208333333333333	1.0	0.869979156926913	0	80	13	0.0
GC_00000091	65	93	3	0	0.736125022018662	0.91467319932355	0.815743341962748	0.44300518134715	1.0	0.678249605767065	1	91	1	0.0108695652173913
GC_00000092	92	93	2	0	0.81740153259842	0.970085058551824	0.887222335022751	0.0368217054263566	1.0	0.739005856536598	4	77	12	0.0493827160493827
GC_00000093	92	93	2	0	0.74669561972535	0.970651953690176	0.844070907156941	0.0681818181818182	1.0	0.670125164690382	1	80	12	0.0123456790123457
GC_00000094	92	93	2	0	0.94585715990266	1.0	0.972175326528054	0.841961852861035	1.0	0.923879604541581	0	81	12	0.0
GC_00000095	92	93	2	0	0.855809317579356	0.987675634258493	0.917026211363256	0.61328125	1.0	0.809553420114539	1	80	12	0.0123456790123457
GC_00000096	92	93	2	0	0.777197681937863	0.968442032736459	0.86234392653514	0.494791666666667	1.0	0.711348395862553	1	80	12	0.0123456790123457
GC_00000097	92	93	2	0	0.918794995536481	0.991791740124792	0.953898894441642	0.717741935483871	1.0	0.893984979414559	3	78	12	0.037037037037037
GC_00000098	92	93	2	0	0.843460525164234	0.897740227064919	0.869754326044056	0.450892857142857	1.0	0.815971874373873	3	77	13	0.0375
GC_00000099	92	93	2	0	0.78362092189619	0.987045351649557	0.873647846540961	0.451669595782074	1.0	0.724075685384248	7	74	12	0.0864197530864197
GC_00000100	92	93	2	0	0.875880834603379	0.991192331907124	0.929975731530495	0.613065326633166	1.0	0.808568320799885	4	77	12	0.0493827160493827
GC_00000101	92	93	2	0	0.8359580773953	0.982543492476905	0.903342820854401	0.00323624595469256	1.0	0.771675963876293	3	78	12	0.037037037037037
GC_00000102	92	93	2	0	0.940472322620469	0.97733482456849	0.958549303340596	0.00434782608695652	1.0	0.89625282029392	0	81	12	0.0
GC_00000103	92	93	2	0	0.953736928312154	0.971217486120893	0.962397836531427	0.213358070500928	1.0	0.905597608162224	0	80	13	0.0
GC_00000104	92	93	2	0	0.966438731598371	0.959443911105246	0.962928618731034	0.862481315396114	1.0	0.949724002457039	0	81	12	0.0
GC_00000105	92	93	2	0	0.783746662274952	0.973651243368111	0.868438399476052	0.0295698924731183	1.0	0.713286783593982	6	75	12	0.0740740740740741
GC_00000106	92	93	2	0	0.863000824961392	0.983433567179562	0.91928961395331	0.0994623655913978	1.0	0.804464074761093	0	81	12	0.0
GC_00000107	92	93	2	0	0.832687380090906	0.931719363629332	0.879424156183671	0.63963963963964	1.0	0.79567646187562	10	71	12	0.123456790123457
GC_00000108	92	93	2	0	0.840421758242339	0.950200947051994	0.891946190835001	0.562700964630225	1.0	0.800516814510492	0	81	12	0.0
GC_00000109	92	93	2	0	0.915993764280701	0.975309955946949	0.944721705280374	0.728057553956835	1.0	0.88336175379472	3	78	12	0.037037037037037
GC_00000110	92	93	2	0	0.952133275811135	0.980500643253125	0.966108770198483	0.00827814569536424	1.0	0.913993201006846	1	79	13	0.0125
GC_00000111	92	93	2	0	0.830475104353723	0.98139453521601	0.899649413231775	0.0496688741721854	1.0	0.770401623584704	2	79	12	0.0246913580246914
GC_00000112	92	93	2	0	0.782963743445134	0.967717140409602	0.865591715587604	0.513853904282116	1.0	0.73255941298872	4	77	12	0.0493827160493827
GC_00000113	92	93	2	0	0.952854954622821	0.984649206488998	0.96849121028992	0.0151975683890578	1.0	0.91215251282095	1	79	13	0.0125
GC_00000114	92	93	2	0	0.717736815025731	0.903178251170036	0.799849782279708	0.429203539823009	1.0	0.610803576230726	32	49	12	0.395061728395062
GC_00000115	92	93	2	0	0.902177066131249	0.97351059537826	0.936487402256755	0.00409836065573771	1.0	0.847502998566819	0	81	12	0.0
GC_00000116	92	93	2	0	0.91025934414752	0.947938463667098	0.928716889667006	0.0892857142857143	1.0	0.865221565484539	2	78	13	0.025
GC_00000117	92	93	2	0	0.771611832980928	0.969439311057858	0.859286467638033	0.32122905027933	1.0	0.710566729610506	3	78	12	0.037037037037037
GC_00000118	92	93	2	0	0.910809316135285	0.994968248496743	0.951030557613493	0.787185354691076	1.0	0.883860590558046	0	81	12	0.0
GC_00000119	92	93	2	0	0.914800007015996	0.997840172786178	0.954517432714451	0.73866090712743	1.0	0.889857394858622	3	78	12	0.037037037037037
GC_00000120	92	93	2	0	0.865997263965249	0.970191540502442	0.915138157419398	0.0177935943060498	1.0	0.80205021470438	1	80	12	0.0123456790123457
GC_00000121	92	93	2	0	0.77180320187214	0.993108272962696	0.868580839104181	0.461805555555556	1.0	0.700091878343982	5	76	12	0.0617283950617284
GC_00000122	92	93	2	0	0.885684236654995	0.981040683669789	0.930926950814367	0.0419161676646707	1.0	0.834175967839916	0	81	12	0.0
GC_00000123	92	93	2	0	0.865065399859525	0.966187661726109	0.912834532226502	0.0253623188405797	1.0	0.817111138213035	5	76	12	0.0617283950617284
GC_00000124	92	93	2	0	0.923685559057357	0.950715037424506	0.937005411218869	0.040133779264214	1.0	0.873149316484276	18	63	12	0.222222222222222
GC_00000125	92	93	2	0	0.938069253344939	0.981049377070121	0.959078028900849	0.0325581395348837	1.0	0.893770181675854	0	80	13	0.0
GC_00000126	92	93	2	0	0.932214666604035	0.984183115780601	0.957494256764476	0.0186542305129913	1.0	0.889872545620981	0	81	12	0.0
GC_00000127	92	93	2	0	0.842013042227081	0.989664296176066	0.909887595741301	0.390962671905697	1.0	0.777079424037268	0	81	12	0.0
GC_00000128	92	93	2	0	0.819740133661993	0.966468643428619	0.887077865818942	0.0200803212851406	1.0	0.73074908328968	5	76	12	0.0617283950617284
GC_00000129	92	93	2	0	0.910813327843165	0.99773942506965	0.952296827720462	0.774574049803408	1.0	0.879091539082275	1	80	12	0.0123456790123457
GC_00000130	91	93	2	0	0.808058705887222	0.983699089734072	0.88727016048207	0.00326797385620915	1.0	0.725758325770701	29	52	12	0.358024691358025
GC_00000131	92	93	2	0	0.726805716492854	0.942182476416713	0.820597308894402	0.488505747126437	1.0	0.674798353511416	27	54	12	0.333333333333333
GC_00000132	92	93	2	0	0.847015132177246	0.944545839609871	0.893125750988606	0.594339622641509	1.0	0.803638845519419	2	79	12	0.0246913580246914
GC_00000133	92	93	2	0	0.925596240197069	0.986652891373522	0.955149819714991	0.778947368421053	1.0	0.899651829433331	0	81	12	0.0
GC_00000134	92	93	2	0	0.886659291721367	0.988600736852416	0.934859183021611	0.701149425287356	1.0	0.846785388667673	11	70	12	0.135802469135802
GC_00000135	92	93	2	0	0.823322333076044	0.96341552512602	0.887876768522283	0.0470588235294118	1.0	0.750295630173528	2	79	12	0.0246913580246914
GC_00000136	92	93	2	0	0.875610861496783	0.965276562839676	0.918259999603565	0.118503118503119	1.0	0.82234348924391	0	81	12	0.0
GC_00000137	92	93	2	0	0.881045408773863	0.973305335379819	0.924880257712913	0.0239651416122004	1.0	0.827739277104016	0	81	12	0.0
GC_00000138	92	93	2	0	0.856052230642719	0.979529073954529	0.913637599857944	0.0691421254801537	1.0	0.793724735253289	3	77	13	0.0375
GC_00000139	92	93	2	0	0.81408685039149	0.912246562583309	0.860376014658937	0.532188841201717	1.0	0.769436201185023	1	80	12	0.0123456790123457
GC_00000140	92	93	2	0	0.909660536168156	0.970864099122198	0.939266351932212	0.016359918200409	1.0	0.854538510149899	0	81	12	0.0
GC_00000141	92	93	2	0	0.937345770334645	0.952651543016282	0.944936681275888	0.801503759398496	1.0	0.916294241916151	2	79	12	0.0246913580246914
GC_00000142	92	93	2	0	0.891760564284008	0.984661108429522	0.935911110440134	0.0025974025974026	1.0	0.832100204610724	2	79	12	0.0246913580246914
GC_00000143	92	93	2	0	0.88141710634698	1.0	0.936971502356931	0.64030612244898	1.0	0.850737279484024	1	80	12	0.0123456790123457
GC_00000144	92	93	2	0	0.853693492682017	0.992641721631731	0.91793924716607	0.628915662650602	1.0	0.809892585770853	1	80	12	0.0123456790123457
GC_00000145	92	93	2	0	0.851501774221905	0.991104627795554	0.91601478002404	0.476377952755905	1.0	0.811352166182593	1	80	12	0.0123456790123457
GC_00000146	92	93	2	0	0.881197591441998	0.96907786930978	0.923050759164862	0.0224358974358974	1.0	0.823463965907865	1	80	12	0.0123456790123457
GC_00000147	92	93	2	0	0.84981896123617	0.981587126234581	0.91096273806919	0.0465686274509804	1.0	0.783794367443097	3	78	12	0.037037037037037
GC_00000148	92	92	1	1	0.999033816425121	1.0	0.999516674722088	0.92	1.0	0.998260869565217	0	80	12	0.0
GC_00000149	92	92	1	1	0.985387296614594	1.0	0.992639872628216	0.873417721518987	1.0	0.977825421688933	2	78	12	0.025
GC_00000150	92	92	1	1	0.992993295422963	1.0	0.996484331084742	0.92156862745098	1.0	0.985008384624753	2	78	12	0.025
GC_00000151	92	92	1	1	0.979371012619094	1.0	0.989578008746521	0.897058823529412	1.0	0.966337371068829	3	77	12	0.0375
GC_00000152	92	92	1	1	0.961995492318746	0.999279343844561	0.980283034912358	0.733333333333333	1.0	0.943944099378882	5	75	12	0.0625
GC_00000153	92	92	1	1	0.982136003696945	1.0	0.990987502235095	0.918032786885246	1.0	0.970778864756056	2	78	12	0.025
GC_00000154	92	92	1	1	0.977705351928954	1.0	0.988727012317937	0.892857142857143	1.0	0.965235592564785	2	78	12	0.025
GC_00000155	92	92	1	1	0.967239193016057	0.999682063460834	0.983193067999511	0.808823529411765	1.0	0.948585621539586	5	75	12	0.0625
GC_00000156	92	92	1	1	0.984290251722573	0.990654205607477	0.987461975235138	0.906542056074766	1.0	0.975416497358797	0	80	12	0.0
GC_00000157	92	92	1	1	0.938374646488279	0.970600052121792	0.954215350737165	0.76	1.0	0.914022933588151	6	74	12	0.075
GC_00000158	92	92	1	1	0.972594562803395	0.885842352796205	0.927193652470666	0.753424657534247	1.0	0.96143537820131	4	76	12	0.05
GC_00000159	92	92	1	1	0.949766579078526	0.990887054708354	0.969891166376886	0.798165137614679	1.0	0.931269368844159	0	80	12	0.0
GC_00000160	92	92	1	1	0.957788096243141	1.0	0.978438982319966	0.805825242718447	1.0	0.938101577611919	7	73	12	0.0875
GC_00000161	92	92	1	1	0.963655622040715	1.0	0.981491470525003	0.841269841269841	1.0	0.942870793802471	5	75	12	0.0625
GC_00000162	92	92	1	1	0.93580323497221	0.940514723394275	0.938153063841695	0.657342657342657	1.0	0.907041119415701	4	76	12	0.05
GC_00000163	92	92	1	1	0.965642127662553	0.960055553619512	0.962840737133965	0.780898876404494	1.0	0.952492792991083	4	76	12	0.05
GC_00000164	92	92	1	1	0.965958859980599	1.0	0.98268471395188	0.852272727272727	1.0	0.941422707727055	1	79	12	0.0125
GC_00000165	92	92	1	1	0.944115386846074	0.910137282643239	0.92681502022312	0.726027397260274	1.0	0.918289274751454	5	75	12	0.0625
GC_00000166	92	92	1	1	0.970133901234642	0.999945103205974	0.984813950919834	0.891414141414141	1.0	0.95632869545913	0	80	12	0.0
GC_00000167	92	92	1	1	0.980219231788715	0.998308718343348	0.989181279867364	0.849557522123894	1.0	0.968434605025602	0	80	12	0.0
GC_00000168	92	92	1	1	0.942371152466277	0.820597401032184	0.877278629828046	0.594594594594595	1.0	0.882170512605295	4	76	12	0.05
GC_00000169	92	92	1	1	0.962263055224862	1.0	0.980768661635525	0.801104972375691	1.0	0.944677470019771	0	80	12	0.0
GC_00000170	92	92	1	1	0.960861950055323	0.946213831073672	0.953481634963167	0.754901960784314	1.0	0.935473520511884	2	78	12	0.025
GC_00000171	92	92	1	1	0.928685531608645	0.989072168552551	0.957928118421148	0.707317073170732	1.0	0.899385873935185	6	74	12	0.075
GC_00000172	92	92	1	1	0.945243812300668	0.906070220703601	0.925242562160177	0.609195402298851	1.0	0.925894195759263	9	71	12	0.1125
GC_00000173	92	92	1	1	0.980006266856744	0.870161794102949	0.921823297455329	0.793103448275862	1.0	0.975420531492496	1	79	12	0.0125
GC_00000174	92	92	1	1	0.94787982643217	1.0	0.973242613399156	0.76536312849162	1.0	0.921651581355249	1	79	12	0.0125
GC_00000175	92	92	1	1	0.907738977490563	0.900708347894263	0.904209996341222	0.607361963190184	1.0	0.868079106809435	1	79	12	0.0125
GC_00000176	92	92	1	1	0.974755983446482	0.997839915526223	0.986162881802054	0.840163934426229	1.0	0.952354844015571	0	80	12	0.0
GC_00000177	92	92	1	1	0.941191682474506	1.0	0.969705043527423	0.772277227722772	1.0	0.920815731835964	0	80	12	0.0
GC_00000178	92	92	1	1	0.929634770526825	1.0	0.96353443120536	0.758620689655172	1.0	0.901208049821243	1	79	12	0.0125
GC_00000179	92	92	1	1	0.946259527051081	0.98667523535864	0.966044855439954	0.676056338028169	1.0	0.926293547236597	3	77	12	0.0375
GC_00000180	92	92	1	1	0.953822683799801	1.0	0.976365656626325	0.842105263157895	1.0	0.926289385671537	1	79	12	0.0125
GC_00000181	92	92	1	1	0.940680056310879	0.999313660804344	0.969110799096293	0.619047619047619	1.0	0.907700649936675	5	75	12	0.0625
GC_00000182	92	92	1	1	0.947093557853668	0.98660500317432	0.966445609967097	0.811188811188811	1.0	0.915544321898837	5	75	12	0.0625
GC_00000183	92	92	1	1	0.960967316067634	0.991093086087672	0.975797738491378	0.772241992882562	1.0	0.941145965283363	0	80	12	0.0
GC_00000184	92	92	1	1	0.960485402265845	0.967841246156921	0.964149294316761	0.805194805194805	1.0	0.947208071431674	2	78	12	0.025
GC_00000185	92	92	1	1	0.93219224824873	0.981714432661317	0.956312649147173	0.701030927835051	1.0	0.889930105752607	10	70	12	0.125
GC_00000186	92	92	1	1	0.965277832170206	1.0	0.982332183642731	0.827868852459016	1.0	0.936746610481464	2	78	12	0.025
GC_00000187	92	92	1	1	0.937993795744268	1.0	0.968004952135608	0.71195652173913	1.0	0.912048962379775	0	80	12	0.0
GC_00000188	92	92	1	1	0.947315815091493	0.87761643258744	0.911135114447851	0.6640625	1.0	0.913976648351648	2	78	12	0.025
GC_00000189	92	92	1	1	0.981898745474813	0.999953942520265	0.990844100210621	0.925847457627119	1.0	0.971152327775393	0	80	12	0.0
GC_00000190	92	92	1	1	0.957416482968561	0.999567184733427	0.978037900154819	0.832352941176471	1.0	0.93854725836823	0	80	12	0.0
GC_00000191	92	92	1	1	0.942878686456001	0.988213677420581	0.965014031989328	0.778894472361809	1.0	0.910045929600223	1	79	12	0.0125
GC_00000192	92	92	1	1	0.931860012674331	0.999830433845779	0.964649385137403	0.780392156862745	1.0	0.895385177482364	2	78	12	0.025
